"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Lagoa do Ouro","PE","13065.00","6493.00","Não","","","","","","",""
"Lagoa dos Três Cantos","RS","1611.00","814.00","Sim","814.00","18.00","4.50","5.50","6.20","1.50","0.30"
"Lagoa Dourada","MG","12953.00","7281.00","Sim","7100.00","69.70","27.10","11.20","12.80","4.50","14.10"
"Lagoa Formosa","MG","17991.00","13594.00","Não","","713.00","","","","",""
"Lagoa Grande","MG","9454.00","7019.00","Não","","","","","","",""
"Lagoa Grande","PE","25349.00","11601.00","Não","","","","","","",""
"Lagoa Nova","RN","15477.00","7528.00","Sim","7500.00","16.00","2.00","3.00","6.00","3.00","2.00"
"Lagoa Real","BA","15555.00","3135.00","Não","","","","","","",""
"Lagoa Santa","GO","1555.00","962.00","Não","","","","","","",""
"Lagoa Santa","MG","63359.00","59051.00","Sim","44000.00","333.00","235.00","37.00","32.00","29.00","0.00"
"Lagoa Vermelha","RS","27834.00","24407.00","Sim","12200.00","409.00","150.00","160.00","45.00","54.00","0.00"
"Lago do Junco","MA","10808.00","3942.00","Não","","","","","","",""
"Lagoinha","SP","4903.00","3178.00","Sim","1500.00","80.00","80.00","0.00","0.00","0.00","0.00"
"Lagoinha do Piauí","PI","2831.00","1686.00","Não","","","","","","",""
"Lago Verde","MA","16199.00","5310.00","Não","","","","","","",""
"Laguna","SC","45500.00","35875.00","Não","","","","","","",""
"Laguna Carapã","MS","7267.00","3064.00","Sim","3064.00","80.00","40.00","20.00","15.00","5.00","0.00"
"Lajeado","RS","82951.00","82643.00","Sim","82643.00","784.10","","","","",""
"Lajeado","TO","3101.00","2422.00","Não","","101.00","","","","",""
"Lajeado do Bugre","RS","2561.00","727.00","Não","","","","","","",""
"Lajeado Grande","SC","1437.00","625.00","Não","","","","","","",""
"Lajedão","BA","3934.00","2188.00","Não","","","","","","",""
"Lajedinho","BA","3808.00","1205.00","Não","","","","","","",""
"Lajedo","PE","39982.00","28812.00","Não","","","","","","",""
"Lajes","RN","11208.00","8711.00","Não","","","","","","",""
"Lajinha","MG","19928.00","12449.00","Não","","","","","","",""
"Lambari","MG","20719.00","14872.00","Não","","","","","","",""
"Lamim","MG","3404.00","1490.00","Sim","1490.00","79.00","32.80","13.50","10.80","8.90","13.00"
"Landri Sales","PI","5307.00","3976.00","Não","","","","","","",""
"Lapa","PR","47909.00","29026.00","Sim","29026.00","540.00","","","","",""
"Lapão","BA","27170.00","10647.00","Não","","","","","","",""
"Laranjeiras","SE","29567.00","23363.00","Não","","","","","","",""
"Laranjeiras do Sul","PR","32006.00","26031.00","Sim","","","30.00","20.00","","15.00","15.00"
"Lastro","PB","2749.00","1292.00","Não","","","","","","",""
"Laurentino","SC","6875.00","5009.00","Sim","5009.00","12.80","0.80","2.10","0.20","0.30","9.40"
"Lauro de Freitas","BA","195095.00","195095.00","Sim","29300.00","1960.00","1025.00","348.00","174.00","240.00","173.00"
"Lauro Muller","SC","15174.00","11730.00","Sim","5797.00","48.50","","","","",""
"Lavandeira","TO","1892.00","1206.00","Sim","","3.00","","","","",""
"Lavínia","SP","11667.00","5695.00","Não","","","","","","",""
"Lavras","MG","102728.00","97888.00","Sim","60000.00","1304.00","","","","",""
"Lavras do Sul","RS","7516.00","4657.00","Não","","","","","","",""
"Leandro Ferreira","MG","3233.00","2171.00","Não","","","","","","",""
