"NOME_MUNICIPIO","UF","POP_TOT","POP_URB","TOT_COLETADO","REALIZA_COLETA","POP_ATENDIDA","TOT_RECUPERADO","PAPEL","PLASTICO","METAIS","VIDROS","OUTROS"
"Nova Ibiá","BA","6,631.00","2,800.00","","Não","","","","","","",""
"Nova Iguaçu","RJ","818,875.00","809,934.00","1300.00","Sim","90,000.00","131.50","32.00","40.00","55.00","3.00","1.50"
"Nova Iguaçu de Goiás","GO","2,923.00","2,093.00","","Não","","","","","","",""
"Nova Independência","SP","3,883.00","3,096.00","","Não","","","","","","",""
"Nova Ipixuna","PA","16,499.00","8,704.00","","Não","","","","","","",""
"Novais","SP","5,712.00","5,201.00","","Não","","","","","","",""
"Nova Itaberaba","SC","4,333.00","1,554.00","67.80","Sim","1,554.00","58.60","1.00","3.00","48.00","6.60","0.00"
"Nova Itarana","BA","8,172.00","2,984.00","","Não","","","","","","",""
"Nova Lacerda","MT","6,526.00","3,578.00","","Não","","","","","","",""
"Nova Laranjeiras","PR","11,603.00","2,448.00","","Não","","","","","","",""
"Nova Lima","MG","93,577.00","91,537.00","","Não","","49.40","0.00","0.00","35.00","14.40","0.00"
"Nova Londrina","PR","13,225.00","12,159.00","1758.00","Sim","12,000.00","384.30","94.90","112.40","43.10","28.40","105.50"
"Nova Mamoré","RO","29,757.00","17,246.00","","Não","","","","","","",""
"Nova Marilândia","MT","3,249.00","2,155.00","","Não","","","","","","",""
"Nova Maringá","MT","8,428.00","4,375.00","","Não","","","","","","",""
"Nova Módica","MG","3,627.00","2,228.00","","Não","","","","","","",""
"Nova Mutum","MT","43,919.00","35,893.00","742.00","Sim","35,693.00","421.20","307.50","103.00","6.60","0.00","4.10"
"Nova Odessa","SP","59,371.00","58,404.00","520.00","Sim","15,000.00","396.00","","","","",""
"Nova Olímpia","MT","20,034.00","18,114.00","","Não","","","","","","",""
"Nova Olímpia","PR","5,785.00","4,925.00","220.00","Sim","4,925.00","210.00","84.00","31.50","63.00","31.50","0.00"
"Nova Olinda","CE","15,520.00","10,556.00","25.00","Sim","4,000.00","21.00","","","","",""
"Nova Olinda","PB","5,978.00","3,178.00","","Não","","21.50","3.00","3.50","15.00","0.00","0.00"
"Nova Olinda","TO","11,719.00","8,187.00","","Não","","","","","","",""
"Nova Olinda do Norte","AM","36,721.00","16,301.00","2550.00","Sim","16,301.00","255.00","","","","",""
"Nova Pádua","RS","2,548.00","761.00","100.00","Sim","","7.00","","","","",""
